Company,Ticker,Name,Title,Equity,Cash,Other,Total,F_Salary,M_Salary,F_Number,M_Number,F_Hourly,M_Hourly,H_Number,S_Number,S_Median,H_Median,Median,CEO_Ratio,S_Gender_Ratio,H_Gender_Ratio
REGIS CORP/MN,RGS,Daniel J. Hanrahan,"President, Chief Executive Officer",7249964.0,2637994.0,46746.0,9934704.0,40938.0,66452.0,27.0,16.0,,,,43.0,50431.5813953,,50431.5813953,196.99370365,0.616053692891,
RENAISSANCERE HOLDINGS LTD,RNR,Kevin J. O'Donnell,President and Chief Executive Officer,3746594.0,3528540.0,578701.0,7853835.0,47416.0,60485.0,16.0,9.0,14.18,12.87,30.0,25.0,52120.84,27050.0,38445.8363636,204.283109508,0.783929899975,1.10178710179
RENT-A-CENTER INC,RCII,Robert D. Davis,Chief Executive Officer,1775370.0,1012038.0,27643.0,2815051.0,47629.0,49378.0,19.0,32.0,14.06,11.82,68.0,51.0,48726.4117647,25880.0,35671.3193277,78.9163690341,0.96457936733,1.18950930626
REPUBLIC SERVICES INC,RSG,Donald W. Slager,President and Chief Executive Officer,5891525.0,4615433.0,352529.0,10859487.0,59940.0,69364.0,33.0,91.0,15.92,17.63,96.0,124.0,66856.0,33550.0,52322.4727273,207.549193185,0.86413701632,0.903006239365
RESTORATION HARDWARE HOLDINGS INC,RH,Ken Dunaj,"Chief Operating Officer, Chief Creative Officer",7002680.0,1096009.0,6000.0,8104689.0,66667.0,75506.0,18.0,14.0,16.65,14.95,34.0,32.0,70534.0625,31600.0,50477.1212121,160.561632783,0.882936455381,1.11371237458
RITE AID CORP,RAD,John T. Standley,CEO,6444747.0,4141291.0,291279.0,10877317.0,64001.0,60562.0,30.0,33.0,12.12,15.39,166.0,63.0,62199.6190476,27510.0,37053.4323144,293.557609122,1.05678478254,0.787524366472
ROCKWELL AUTOMATION,ROK,Keith D. Nosbusch,President & Chief Executive Officer,5033627.0,2168815.0,97268.0,7299710.0,65935.0,85522.0,46.0,130.0,20.94,24.32,22.0,176.0,80402.6704545,45260.0,76497.9292929,95.4236286847,0.770971212086,0.861019736842
ROCKWELL COLLINS INC,COL,Robert K. Ortberg,"Chairman, President and CEO",4590086.0,2225688.0,195736.0,7011510.0,73302.0,84379.0,44.0,148.0,24.28,24.38,22.0,192.0,81840.5208333,48660.0,78429.4392523,89.3989561425,0.868723260527,0.995898277276
ROSS STORES INC,ROST,Barbara Rentler,"Chief Executive Officer, Director",6200156.0,3849562.0,108071.0,10157789.0,60629.0,79172.0,44.0,22.0,9.82,12.86,51.0,66.0,66810.0,22680.0,47573.8461538,213.51624519,0.765788410044,0.763608087092
ROYAL CARIBBEAN CRUISES LTD,RCL,Richard D. Fain,Chairman & Chief Executive Officer,5803644.0,3465129.0,119796.0,9388569.0,65097.0,58477.0,13.0,23.0,21.36,44.0,6.0,36.0,60867.5555556,65360.0,61509.3333333,152.636494191,1.11320690186,0.485454545455
RUBY TUESDAY INC,RT,J. J. Buettgen,"President, CEO",1500954.0,2400000.0,44052.0,3945006.0,43369.0,49424.0,31.0,47.0,6.84,9.91,44.0,78.0,47017.525641,16750.0,36101.3688525,109.27580104,0.877488669472,0.690211907164
RUSH ENTERPRISES INC,RUSHA,"W. M. ""Rusty"" Rush","President and Chief Executive Officer, Director",1746315.0,2990000.0,206041.0,4942356.0,57897.0,57731.0,11.0,23.0,13.98,18.52,22.0,34.0,57784.7058824,32500.0,47851.4285714,103.285443038,1.0028754049,0.754859611231
RYDER SYSTEM INC,R,Robert E. Sanchez,Chair and Chief Executive Officer,3168449.0,2288962.0,183526.0,5640937.0,58515.0,65491.0,28.0,47.0,17.09,18.88,66.0,75.0,62886.6266667,35970.0,50287.3546099,112.174065304,0.893481547083,0.905190677966
SABRE CORP,SABR,Tom Klein,President and CEO,5100007.0,1953454.0,24114.0,7077575.0,81701.0,90241.0,21.0,28.0,20.0,16.0,5.0,49.0,86581.0,36000.0,81897.5740741,86.4198369734,0.905364523886,1.25
SAIA INC,SAIA,Richard D. O'Dell,President & Chief Executive Officer (PEO),1206280.0,798493.0,69002.0,2073775.0,52121.0,55852.0,7.0,20.0,18.29,21.29,16.0,27.0,54884.7037037,39580.0,49189.9302326,42.1585269626,0.933198453055,0.859088774072
SALESFORCE.COM INC,CRM,Marc Benioff,Chairman of the Board and Chief Executive Officer,27263021.0,4650000.0,1449882.0,33362903.0,88906.0,100984.0,103.0,164.0,30.63,33.46,26.0,267.0,96324.6966292,64090.0,93464.2798635,356.958862238,0.880396894558,0.915421398685
SANMINA CORP,SANM,Jure Sola,Chairman of the Board and Chief Executive Officer,7807765.0,2317500.0,56285.0,10181550.0,78013.0,84104.0,16.0,48.0,14.7,14.69,34.0,64.0,82581.25,29390.0,64127.1428571,158.771302546,0.927577760867,1.00068073519
"SANTANDER HOLDINGS USA, INC.",SAN,Juan Yanes,Former Chief Risk Officer,767500.0,1388708.0,8514299.0,10670507.0,70871.6470588,70572.079646,85.0,113.0,15.1416666667,17.055,66.0,198.0,70700.6818182,32196.6666667,61074.6780303,174.712456031,1.00424484321,0.887813935307
SCHEIN (HENRY) INC,HSIC,Stanley M. Bergman,Chairman and Chief Executive Officer (Principal Executive Officer),3500000.0,4100175.0,397428.0,7997603.0,65291.0,67555.0,23.0,44.0,17.86,17.03,30.0,67.0,66777.8059701,34890.0,56915.5979381,140.516893255,0.966486566501,1.04873752202
SCHLUMBERGER LTD,SLB,P. Kibsgaard,Chairman and Chief Executive Officer,12018346.0,5179600.0,145180.0,17343126.0,71274.0,88342.0,60.0,178.0,22.0,21.39,60.0,238.0,84039.1428571,43390.0,75854.7516779,228.635986756,0.806796314324,1.02851799906
SCHOLASTIC CORP,SCHL,Richard Robinson,"Chairman of the Board, Chief Executive Officer and President",2299996.0,2182500.0,499416.0,4981912.0,58770.0,80358.0,33.0,24.0,21.92,30.0,11.0,57.0,67859.6842105,51920.0,65281.2058824,76.3146442022,0.73135219891,0.730666666667
SCHWAB CHARLES CORP,SCHW,Walter W. Bettinger II,President and Chief Executive Officer,7500000.0,4714000.0,123373.0,12337373.0,61297.0,76182.0,72.0,145.0,25.84,34.41,22.0,217.0,71243.1981567,60250.0,70231.2719665,175.667799465,0.804612638156,0.75094449288
SCIENCE APPLICATIONS INTL CP,SAIC,Anthony J. Moraco,Chief Executive Officer,3700043.0,2050179.0,16026.0,5766248.0,74799.0,80621.0,96.0,315.0,23.15,21.59,64.0,411.0,79261.1167883,44740.0,74609.8505263,77.2853444863,0.927785564555,1.07225567392
SCOTTS MIRACLE-GRO CO,SMG,James Hagedorn,"President, Chief Executive Officer and Chairman of the Board",3543951.0,2901228.0,1149037.0,7594216.0,74416.0,78679.0,10.0,15.0,17.91,14.4,9.0,25.0,76973.8,32310.0,65151.0294118,116.563254158,0.945817816698,1.24375
"SCRIPPS NETWORKS INTERACTIVE, INC.",SNI,Kenneth W. Lowe,"Chairman, President & Chief Executive Officer",3994138.0,3506548.0,499158.0,7999844.0,72356.0,78433.0,19.0,12.0,25.69,24.0,8.0,31.0,74708.3870968,49690.0,69576.4102564,114.979257632,0.922519857713,1.07041666667
SEAGATE TECHNOLOGY PLC,STX,Stephen J. Luczo,Chairman and Chief Executive Officer,9287697.0,2355710.0,3884.0,11647291.0,81626.0,92104.0,22.0,95.0,19.52,21.3,16.0,117.0,90133.7777778,40820.0,84201.2932331,138.326747165,0.886237296969,0.916431924883
SEALED AIR CORP,SEE,Jerome A. Peribere,President and Chief Executive Officer,6918394.0,1180188.0,31800.0,8130382.0,74545.0,76082.0,26.0,49.0,19.13,19.49,14.0,75.0,75549.1733333,38620.0,69740.0898876,116.581180396,0.979798112563,0.981528989225
SEARS HOLDINGS CORP,SHLD,Edward S. Lampert,Chief Executive Officer,4300584.0,1.0,0.0,4300585.0,59203.0,65007.0,156.0,244.0,10.16,13.02,343.0,400.0,62743.44,23180.0,44479.294751,96.6873468672,0.910717307367,0.780337941628
SEI INVESTMENTS CO,SEIC,Alfred P. West Jr.,Chairman of the Board and Chief Executive Officer,364650.0,1300000.0,34025.0,1698675.0,76008.0,58026.0,9.0,30.0,,,,39.0,62175.6923077,,62175.6923077,27.3205643066,1.30989556406,
SELECT MEDICAL HOLDINGS CORP,SEM,Robert A. Ortenzio,Executive Chairman and Co-Founder,2890000.0,3482500.0,84150.0,6456650.0,63210.0,62614.0,43.0,32.0,23.19,25.45,64.0,75.0,62955.7066667,48640.0,56364.3021583,114.552114597,1.009518638,0.911198428291
SEMPRA ENERGY,SRE,Debra L. Reed,Chairman and Chief Executive Officer,7159154.0,4520000.0,191519.0,11870673.0,68066.0,96437.0,10.0,18.0,22.73,30.73,8.0,28.0,86304.5,53460.0,79005.7222222,150.250800399,0.705807936788,0.739668076798
SERVICE CORP INTERNATIONAL,SCI,Thomas L. Ryan,Chairman of the Board & Chief Executive Officer,3274455.0,6025909.0,980638.0,10281002.0,47233.0,68391.0,7.0,25.0,15.77,15.62,40.0,32.0,63762.6875,31390.0,45777.8611111,224.584586314,0.690631808279,1.00960307298
SHERWIN-WILLIAMS CO,SHW,C. M. Connor,Chairman and Chief Executive Officer,8557512.0,3367987.0,562473.0,12487972.0,52349.0,59038.0,55.0,165.0,13.83,12.45,86.0,220.0,57365.75,26280.0,48629.2320261,256.799695979,0.886700091467,1.11084337349
SIMON PROPERTY GROUP INC,SPG,David Simon,Chairman of the Board and Chief Executive Officer,9470774.0,4750000.0,13433.0,14234207.0,63898.0,68788.0,19.0,19.0,16.11,16.59,18.0,38.0,66343.0,32700.0,55529.1785714,256.33743135,0.928912019538,0.971066907776
SINCLAIR BROADCAST GP  -CL A,SBGI,David B. Amy,Executive Vice President and Chief Operating Officer,557200.0,850000.0,3030225.0,4437425.0,40657.0,53368.0,42.0,47.0,13.91,13.88,62.0,89.0,47369.5505618,27790.0,39330.2649007,112.824691398,0.761823564683,1.00216138329
SKECHERS USA INC,SKX,Michael Greenberg,President and Director,10886000.0,2656153.0,192167.0,13734320.0,65334.0,45000.0,11.0,3.0,17.21,17.48,18.0,14.0,60976.7142857,34690.0,46190.4375,297.341197515,1.45186666667,0.984553775744
SMUCKER (JM) CO,SJM,Richard K. Smucker,Chief Executive Officer,2940000.0,1871500.0,75495.0,4886995.0,62742.0,61978.0,15.0,29.0,14.45,20.21,11.0,44.0,62238.4545455,34660.0,56722.7636364,86.1557986019,1.01232695473,0.714992577932
SNAP-ON INC,SNA,Nicholas T. Pinchuk,"Chairman, President and Chief Executive Officer",7145673.0,2819805.0,382801.0,10348279.0,68206.0,76577.0,9.0,29.0,20.75,19.4,13.0,38.0,74594.3947368,40150.0,65814.4509804,157.234146086,0.890685192682,1.06958762887
SOLARCITY CORP,SCTY,Brad W. Buss,Chief Financial Officer,31061300.0,193956.0,5.0,31255261.0,51584.0,63370.0,30.0,55.0,15.16,17.2,45.0,85.0,59210.2352941,32360.0,49915.9230769,626.158128977,0.814012939877,0.881395348837
SONOCO PRODUCTS CO,SON,M. Jack Sanders,President and Chief Executive Officer,3903035.0,2059302.0,125817.0,6088154.0,63266.0,74891.0,13.0,31.0,18.62,16.5,19.0,44.0,71456.3409091,35120.0,60497.7619048,100.634367426,0.844774405469,1.12848484848
SOUTHERN CO,SO,Thomas A. Fanning,"Chairman, President, and Chief Executive Officer",7187441.0,3739510.0,78002.0,11004953.0,64031.0,77989.0,30.0,63.0,27.38,25.65,20.0,93.0,73486.4193548,53030.0,69865.8141593,157.515562259,0.821026042134,1.06744639376
SOUTHWEST AIRLINES,LUV,Gary C. Kelly,"Chairman of the Board, President, & Chief Executive Officer",3780011.0,1831275.0,305665.0,5916951.0,52980.0,72351.0,40.0,75.0,20.44,16.15,52.0,115.0,65613.2608696,36590.0,56576.0778443,104.58397304,0.732263548534,1.26563467492
SPECTRUM BRANDS HOLDINGS INC,SPB,David R. Lumley,Former Chief Executive Officer and President,4829707.0,2094021.0,4748513.0,11672241.0,51533.0,74426.0,20.0,40.0,,,,60.0,66795.0,,66795.0,174.747226589,0.692405879666,
SPECTRUM PHARMACEUTICALS INC,SPPI,Rajesh C. Shrotriya M.D.,Chairman and Chief Executive Officer,2734423.0,1800000.0,294140.0,4828563.0,55190.0,63896.0,32.0,32.0,17.24,14.95,62.0,64.0,59543.0,32190.0,46083.5873016,104.778366502,0.863747339427,1.15317725753
"SPIRIT AEROSYSTEMS HOLDINGS, INC.",SPR,Larry A. Lawson,President & CEO,6125004.0,3210749.0,1077379.0,10413132.0,67158.0,75293.0,26.0,55.0,20.12,20.63,19.0,81.0,72681.7654321,40750.0,66614.73,156.31876013,0.891955427463,0.97527872031
SPIRIT AIRLINES INC,SAVE,B. Ben Baldanza,Chief Executive Officer and President,4885139.0,1273667.0,8262.0,6167068.0,40278.0,94124.0,7.0,8.0,,,,15.0,68995.8666667,,68995.8666667,89.3831514545,0.427924865072,
SPROUTS FARMERS MARKET,SFM,Amin N. Maredia,Chief Executive Officer; Former Chief Financial Officer and Treasurer,7559503.0,677842.0,12151.0,8249496.0,44714.0,67827.0,5.0,12.0,12.22,12.42,115.0,17.0,61029.0588235,24640.0,29326.469697,281.298638576,0.659235997464,0.983896940419
ST JUDE MEDICAL INC,STJ,Michael T. Rousseau,Chief Operating Officer,6849809.0,1576000.0,12432.0,8438241.0,77868.0,93209.0,46.0,96.0,17.72,21.04,38.0,142.0,88239.3802817,38760.0,77793.7333333,108.469418274,0.835412889313,0.842205323194
STAGE STORES INC,SSI,Michael L. Glazer,President and Chief Executive Officer,2824427.0,995231.0,232208.0,4051866.0,38637.0,51803.0,32.0,15.0,9.72,14.07,23.0,47.0,42838.9148936,23790.0,36579.9857143,110.767293122,0.745844835241,0.690831556503
STANLEY BLACK & DECKER INC,SWK,John F. Lundgren,Chairman and CEO,7552866.0,4081725.0,477465.0,12112056.0,59044.0,70063.0,29.0,65.0,16.24,18.22,20.0,94.0,66663.5212766,34460.0,61013.7807018,198.513448285,0.842727259752,0.891328210757
STAPLES INC,SPLS,Ronald L. Sargent,Chairman & Chief Executive Officer,8225000.0,3840686.0,325851.0,12391537.0,60371.0,66559.0,74.0,120.0,11.26,10.63,208.0,194.0,64198.628866,21890.0,42307.5970149,292.891534247,0.907029853213,1.05926622766
STARBUCKS CORP,SBUX,Howard Schultz,chairman and chief executive officer,14369277.0,5505000.0,217076.0,20091353.0,60045.0,70326.0,173.0,183.0,9.67,10.16,487.0,356.0,65329.8960674,19830.0,39044.6654804,514.573572415,0.853809401928,0.951771653543
STARWOOD HOTELS&RESORTS WRLD,HOT,Frits Van Paasschen,President and Chief Executive Officer,8695815.0,3125000.0,181128.0,12001943.0,61950.0,65310.0,85.0,90.0,15.24,15.41,91.0,175.0,63678.0,30650.0,52378.9473684,229.136773513,0.948553054662,0.988968202466
STATE BANK FINANCIAL CORP,STBZ,Joseph W. Evans,Chief Executive Officer/Chairman,149220.0,660000.0,21735.0,830955.0,48064.0,54280.0,9.0,5.0,13.95,17.0,16.0,14.0,50284.0,30950.0,39972.5333333,20.7881495293,0.885482682388,0.820588235294
STATE STREET CORP,STT,Joseph L. Hooley,Chairman and Chief Executive Officer,10200000.0,1038462.0,103025.0,11341487.0,82750.0,68005.0,60.0,76.0,17.94,19.77,21.0,136.0,74510.1470588,37710.0,69587.8343949,162.980887372,1.21682229248,0.907435508346
STEELCASE INC,SCS,James P. Hackett,"Vice Chair, CEO",3423216.0,2207874.0,28198.0,5659288.0,76616.0,69981.0,15.0,26.0,17.64,19.05,15.0,41.0,72408.4390244,36690.0,62841.0,90.0572556134,1.09481144882,0.925984251969
STEIN MART INC,SMRT,D. Hunt Hawkins,President and Chief Operating Officer,561091.0,450000.0,225719.0,1236810.0,42979.0,50436.0,19.0,6.0,10.42,11.88,23.0,25.0,44768.68,22300.0,34002.4375,36.3741569998,0.852149258466,0.877104377104
STERICYCLE INC,SRCL,Charles A. Alutto,"President and Chief Executive Officer, Director",2510200.0,953596.0,1750.0,3465546.0,55215.0,68411.0,18.0,40.0,14.42,16.82,61.0,58.0,64315.6896552,31240.0,47360.9243697,73.1731072845,0.807107044189,0.857312722949
STERIS CORP,STE,Walter M Rosebrough Jr.,President and Chief Executive Officer,2186790.0,1487662.0,126122.0,3800574.0,62473.0,62996.0,26.0,42.0,14.73,17.87,20.0,68.0,62796.0294118,32600.0,55933.2954545,67.9483296865,0.99169788558,0.82428651371
STERLING BANCORP,STL,Jack Kopnisky,President and CEO,600547.0,646154.0,67474.0,1314175.0,45500.0,,2.0,,,,,2.0,45500.0,,45500.0,28.882967033,,
STEWART INFORMATION SERVICES CORP,STC,Matthew W. Morris,Chief Executive Officer,874959.0,1020164.0,69716.0,1964839.0,49713.0,52569.0,36.0,11.0,16.91,15.71,16.0,47.0,50381.4255319,32620.0,45870.5873016,42.8343981533,0.945671403299,1.07638446849
STIFEL FINANCIAL CORP,SF,Ronald J. Kruszewski,Chairman and Chief Executive Officer,1550000.0,5275000.0,133987.0,6958987.0,42415.0,70204.0,19.0,17.0,,,,36.0,55537.5833333,,55537.5833333,125.302301294,0.604167853684,
STRYKER CORP,SYK,Kevin A. Lobo,"Chairman, President and Chief Executive Officer",7183717.0,3021146.0,265487.0,10470350.0,72507.0,83321.0,78.0,170.0,20.09,20.55,47.0,248.0,79919.8225806,40640.0,73661.6813559,142.141067204,0.870212791493,0.977615571776
SUMMIT HOTEL PROPERTIES INC,INN,Daniel P. Hansen,President and CEO,2483986.0,2012500.0,10600.0,4507086.0,46044.0,76232.0,34.0,33.0,16.75,17.73,71.0,67.0,60912.7164179,34480.0,47313.2753623,95.260494343,0.603998320915,0.944726452341
SUNTRUST BANKS INC,STI,William H. Rogers Jr.,Chairman and Chief Executive Officer,4830430.0,2978500.0,100477.0,7909407.0,53135.0,70150.0,123.0,138.0,13.81,19.94,54.0,261.0,62131.4367816,33750.0,57266.047619,138.116865557,0.757448325018,0.6925777332
SUPERIOR ENERGY SERVICES INC,SPN,David D. Dunlap,President & Chief Executive Officer,3000003.0,3690520.0,308179.0,6998702.0,47232.0,70561.0,12.0,16.0,14.68,15.99,29.0,28.0,60562.8571429,30670.0,45354.2105263,154.312067585,0.669378268449,0.918073796123
SUPERVALU INC,SVU,Bruce H. Besanko,Executive Vice President and Chief Financial Officer,3006938.0,2073681.0,85957.0,5166576.0,67157.0,68490.0,16.0,30.0,16.79,14.9,34.0,46.0,68026.3478261,31690.0,52583.4,98.2548865231,0.980537304716,1.12684563758
SURGICAL CARE AFFILIATES INC,SCAI,Andrew P. Hayek,President and Chief Executive Officer,4508393.0,1780000.0,5974.0,6294367.0,60601.0,70825.0,17.0,14.0,20.55,19.33,34.0,31.0,65218.2903226,39880.0,51964.4153846,121.128409767,0.855644193435,1.06311433006
SYKES ENTERPRISES INC,SYKE,Charles E. Sykes,President and Chief Executive Officer,2579967.0,1617201.0,46696.0,4243864.0,42592.0,56617.0,8.0,14.0,10.54,9.96,32.0,22.0,51517.0,20500.0,33136.5555556,128.071971539,0.752282883233,1.05823293173
SYMANTEC CORP,SYMC,Michael A. Brown,President and Chief Executive Officer,14177180.0,2131253.0,22000.0,16330433.0,89852.0,100158.0,51.0,119.0,30.24,45.0,8.0,170.0,97066.2,75240.0,96085.247191,169.957756028,0.897102577927,0.672
SYNOPSYS INC,SNPS,Aart J. de Geus,Co-Chief Executive Officer and Chairman of the Board of Directors,2574985.0,2315000.0,29154.0,4919139.0,90309.0,122366.0,10.0,45.0,,,,55.0,116537.454545,,116537.454545,42.2107984011,0.738023634016,
SYNOVUS FINANCIAL CORP,SNV,Kessel D. Stelling,"Chairman, Chief Executive Officer and President",1791521.0,2183688.0,251413.0,4226622.0,43737.0,82907.0,14.0,7.0,15.0,14.47,5.0,21.0,56793.6666667,29470.0,51539.1153846,82.0080431815,0.527542909525,1.03662750518
SYNTEL INC,SYNT,Prashant Ranade,Executive Vice Chairman,4150000.0,1297056.0,91726.0,5538782.0,61000.0,73768.0,3.0,95.0,,,,98.0,73377.1428571,,73377.1428571,75.4837512655,0.826916820301,
SYSCO CORP,SYY,William J. DeLaney,President and Chief Executive Officer,5340943.0,3576993.0,158696.0,9076632.0,58752.0,65495.0,51.0,84.0,15.93,18.76,43.0,135.0,62947.6444444,34690.0,56121.3595506,161.732218761,0.897045575998,0.849147121535
T-MOBILE US INC,TMUS,John J. Legere,President and Chief Executive Officer,10658668.0,7908333.0,0.0,18567001.0,68004.0,82510.0,86.0,198.0,13.35,13.16,170.0,284.0,78117.3380282,26510.0,58793.0044053,315.802895052,0.824191007151,1.01443768997
TABLEAU SOFTWARE INC,DATA,Thomas Walker,Chief Financial Officer,3428568.0,450000.0,5550.0,3884118.0,63321.0,81812.0,43.0,71.0,20.12,16.97,13.0,114.0,74837.3245614,37090.0,70973.4251969,54.7263710216,0.773981811959,1.18562168533
TCF FINANCIAL CORP,TCB,William A. Cooper,"Director, Chairman and former CEO (former Principal Executive Officer)",0.0,3490777.0,451012.0,3941789.0,46361.0,54984.0,19.0,18.0,12.37,12.11,35.0,37.0,50555.972973,24480.0,37880.1527778,104.05947999,0.84317255929,1.02146985962
TE CONNECTIVITY LTD,TEL,Thomas J. Lynch,Chief Executive Officer,9272776.0,2280000.0,612301.0,12165077.0,76577.0,79613.0,33.0,101.0,18.41,20.58,44.0,134.0,78865.3283582,38990.0,69008.505618,176.283733303,0.961865524475,0.894557823129
TEAM HEALTH HOLDINGS INC,TMH,Michael D. Snow,"President, Chief Executive Officer and Director",2800036.0,1659490.0,146991.0,4606517.0,64269.0,89832.0,20.0,15.0,16.97,55.54,34.0,35.0,75224.5714286,72510.0,73886.9565217,62.3454695775,0.715435479562,0.305545552755
TECH DATA CORP,TECD,Robert M. Dutkowsky,Chief Executive Officer,4832421.0,2750044.0,28315.0,7610780.0,48727.0,67843.0,7.0,17.0,,,,24.0,62267.5,,62267.5,122.227165054,0.718231799891,
TELEDYNE TECHNOLOGIES INC,TDY,Robert Mehrabian,"Chairman, President and Chief Executive Officer (Principal Executive Officer)",1634339.0,1977865.0,12000.0,3624204.0,,65005.0,,6.0,,,,6.0,65005.0,,65005.0,55.7526959465,,
TELETECH HOLDINGS INC,TTEC,Charls Keith Gallacher,"Executive Vice President, Global Markets and Industries",1132514.0,785385.0,3669.0,1921568.0,52582.0,52600.0,9.0,11.0,11.06,10.12,22.0,20.0,52591.9,21180.0,36138.047619,53.172988764,0.999657794677,1.09288537549
TENET HEALTHCARE CORP,THC,Trevor Fetter,Chief Executive Officer,9000061.0,4123896.0,213503.0,13337460.0,72695.0,90430.0,80.0,36.0,23.26,27.69,213.0,116.0,78198.9655172,50950.0,60557.5379939,220.244422773,0.803881455269,0.840014445648
TENNECO INC,TEN,Brian J. Kesseler,Chief Operating Officer,5791187.0,3668751.0,117738.0,9577676.0,52547.0,73360.0,11.0,49.0,17.59,21.26,29.0,60.0,69544.2833333,38850.0,59542.7752809,160.853704833,0.71628953108,0.827375352775
TERADATA CORP /DE/,TDC,Michael Koehler,President and Chief Executive Officer,5237503.0,1120000.0,15180.0,6372683.0,80151.0,94056.0,30.0,76.0,26.5,19.43,7.0,106.0,90120.6226415,45930.0,87383.1504425,72.9280526936,0.852162541465,1.36387030365
TERADYNE INC,TER,Mark E. Jagiela,Chief Executive Officer,2930904.0,2328088.0,12916.0,5271908.0,59627.0,92923.0,7.0,28.0,,,,35.0,86263.8,,86263.8,61.1137928076,0.641681822584,
TEREX CORP,TEX,Ronald M. DeFeo,Chairman and Chief Executive Officer,2054262.0,5430474.0,328584.0,7813320.0,68994.0,82939.0,17.0,50.0,16.95,21.4,11.0,67.0,79400.7164179,38350.0,73611.5128205,106.142635854,0.831864382257,0.792056074766
TESLA MOTORS INC,TSLA,Jason Wheeler,Chief Financial Officer,20852142.0,46154.0,0.0,20898296.0,90087.0,94083.0,43.0,165.0,22.64,21.47,69.0,208.0,93256.9038462,44110.0,81014.534296,257.957367546,0.957526864577,1.05449464369
TESORO CORP,TSO,Gregory J. Goff,"Chairman, President and Chief Executive Officer",11336348.0,5664232.0,80615.0,17081195.0,76515.0,106774.0,19.0,45.0,21.63,28.63,27.0,64.0,97790.859375,50260.0,83688.2967033,204.104942661,0.716607039167,0.755501222494
TETRA TECH INC,TTEK,Dan L. Batrack,Chairman and Chief Executive Officer,3428558.0,1948680.0,41956.0,5419194.0,61484.0,68489.0,41.0,72.0,24.49,23.85,28.0,113.0,65947.3628319,48340.0,62450.8652482,86.7753229432,0.897720801881,1.02683438155
TEXAS INSTRUMENTS INC,TXN,Richard K. Templeton,"Chairman, President & Chief Executive Officer",9800023.0,4794127.0,317702.0,14911852.0,75331.0,90302.0,38.0,139.0,17.68,24.49,30.0,177.0,87087.8870056,42170.0,80578.0483092,185.06097272,0.834211866847,0.721927317272
TEXAS ROADHOUSE INC,TXRH,W. Kent Taylor,"Chairman, Chief Executive Officer",0.0,1077279.0,8773.0,1086052.0,32359.0,38486.0,14.0,22.0,6.97,10.23,76.0,36.0,36103.2777778,17200.0,23276.0535714,46.6596279591,0.840799251676,0.681329423265
TEXTRON INC,TXT,Scott C. Donnelly,"Chairman, President and Chief Executive Officer",9305450.0,2770000.0,75370.0,12150820.0,63149.0,78290.0,22.0,66.0,34.72,31.67,9.0,88.0,74504.75,66390.0,73751.8350515,164.752781968,0.806603653085,1.09630565204
THERMO FISHER SCIENTIFIC INC.,TMO,Marc N. Casper,President and Chief Executive Officer,11510438.0,4336692.0,459949.0,16307079.0,75031.0,79219.0,153.0,218.0,20.35,19.27,94.0,371.0,77491.8733154,39620.0,69836.0537634,233.50516132,0.947133894646,1.05604566684
TIFFANY & CO,TIF,Frederic Cumenal,CEO,6018160.0,2646181.0,757709.0,9422050.0,68851.0,80806.0,31.0,17.0,20.34,20.84,27.0,48.0,73085.0625,41180.0,61599.24,152.957244278,0.852053065366,0.976007677543
TIME INC,TIME,Joseph A. Ripp,Chairman and Chief Executive Officer,2359320.0,3171697.0,77123.0,5608140.0,62576.0,77903.0,82.0,60.0,20.4,17.5,10.0,142.0,69052.1971831,37900.0,67002.7105263,83.7001959465,0.803255330347,1.16571428571
TIME WARNER INC,TWX,Jeffrey L. Bewkes,Chairman of the Board and Chief Executive Officer,15959657.0,16510000.0,187922.0,32657579.0,62134.7065217,65522.6141304,92.0,184.0,16.0144324324,18.1184864865,185.0,276.0,64393.3115942,34132.9189189,52249.7700651,625.028185948,0.948294071388,0.883872526791
TIMKEN CO,TKR,Richard G. Kyle,President & CEO,4290208.0,1353600.0,162962.0,5806770.0,63469.0,64503.0,20.0,36.0,22.0,18.51,25.0,56.0,64133.7142857,40510.0,56842.4444444,102.155529319,0.983969737842,1.1885467315
TJX COMPANIES INC,TJX,Carol Meyrowitz,Chief Executive Officer,17121000.0,6157888.0,44014.0,23322902.0,60244.0,70015.0,57.0,52.0,13.55,12.17,43.0,109.0,64905.3944954,25720.0,53820.0526316,433.349669122,0.860444190531,1.1133935908
TOLL BROTHERS INC,TOL,Douglas C. Yearley Jr.,Chief Executive Officer,5911400.0,3500000.0,39166.0,9450566.0,55685.0,62164.0,36.0,34.0,18.07,17.9,23.0,70.0,58831.9428571,35970.0,53177.9139785,177.71599698,0.89577569011,1.0094972067
TRACTOR SUPPLY CO,TSCO,Gregory A. Sandfort,President and Chief Executive Officer,4497346.0,2032308.0,26750.0,6556404.0,47337.0,54961.0,10.0,45.0,10.93,11.32,76.0,55.0,53574.8181818,22250.0,35401.6412214,185.200566239,0.861283455541,0.96554770318
TRANSOCEAN LTD,RIG,Steven L. Newman,President and Chief Executive Officer,6795900.0,2780732.0,852854.0,10429486.0,71403.0,115648.0,5.0,16.0,,,,21.0,105113.47619,,105113.47619,99.2212071942,0.617416643608,
